x,y,c
3.354250035404438002e-01,3.867656390664643840e-01,8.161970811203078657e-01
9.076094555627703953e-01,4.332938777361588500e-01,2.659851846654040508e-01
3.118260543261067164e-01,6.367379230219767372e-01,7.746452642944785527e-01
5.135514163085430628e-01,8.307415685770923597e-01,4.830092660364311841e-01
2.803685815108424295e-01,4.585071938686697268e-01,7.803545404039874400e-01
8.924392130440669257e-01,2.730556066562223050e-01,2.469554153608500280e-01
1.981470358238163199e-01,2.629961266978230183e-01,4.521996619469227374e-01
9.041955745309608605e-02,7.214128522191016746e-01,2.301637587009712216e-01
4.415873540027341337e-01,7.849118870815192661e-01,6.513698076328351405e-01
9.431380076502532406e-01,1.447502718687124490e-01,9.266247453272205559e-02
8.525095396294224415e-01,1.099029712596603370e-01,1.198305273991513153e-01
7.237472175112542594e-01,5.849902973808065454e-01,7.345820615725308089e-01
8.517132417906723152e-01,1.815559197734284425e-01,2.190979461989790156e-01
8.541019757280767788e-01,7.921977714107071300e-01,2.584075708181163833e-01
5.169725243478041632e-01,3.293012065316669457e-01,8.886253031929333135e-01
3.343361466477136612e-01,1.794847396740283652e-01,4.764456389889623056e-01
7.448111888998891761e-01,8.788734252387051527e-01,2.528960616764318048e-01
6.454951368509849186e-01,1.989785504617503364e-01,5.048378204791137414e-01
3.862919559863390306e-01,3.062480741041419541e-01,7.692627257805940699e-01
1.350200012553637308e-01,1.882520556728527472e-01,2.051336242139037702e-01
7.221106502141233507e-01,1.539410572988194614e-01,3.428827580209238834e-01
2.862144643305781777e-01,6.903321470279602523e-02,1.746838420260495572e-01
8.931318354804012039e-01,9.985586824783410087e-02,1.247744460041255582e-01
2.668735175051162312e-01,2.071773238422674190e-01,4.626923426796392125e-01
1.604821391703374067e-01,9.804373936445784365e-02,1.006278821259372347e-01
7.980014049124154463e-01,5.820294344998740987e-01,5.793633551765343670e-01
1.879558849620446281e-01,6.626430741195556973e-01,4.870896545194870475e-01
2.113414773419651782e-01,4.042674111488253619e-01,5.968490911919790420e-01
5.894445123687590549e-01,3.361919872568444601e-01,8.686639323075672214e-01
8.371058367537179690e-01,5.040736133200069968e-01,4.483964122302162014e-01
2.267911991431159069e-01,8.375044480111476508e-01,3.075898333563538700e-01
3.292913056100852942e-01,8.160184641399853556e-01,4.814605233052980937e-01
7.496643544170596973e-01,8.912755581151274309e-02,1.639886953393154545e-01
9.246437834548705270e-01,2.133485686368716550e-01,1.752076691791786822e-01
5.006670675821079941e-01,2.630703839939563804e-01,7.429031996165917917e-01
1.795077522961256999e-01,2.744488182489906447e-01,4.227825009041063509e-01
6.254265893738139570e-02,5.641093865684954078e-01,1.798567474128554000e-01
2.566904269989697118e-01,4.246361831328729908e-01,7.179503930289652391e-01
1.686399960078689142e-01,9.432870793483458249e-02,1.689464318463339554e-01
6.598928062515716508e-01,3.862527246136143733e-01,8.257580477447710177e-01
1.596492541656780173e-01,5.213776538458734233e-01,4.843919198677986704e-01
5.056969384585696670e-01,1.415047126133443800e-01,4.353898011556618375e-01
6.748361920785977963e-01,8.001126984097036710e-01,4.838160563431723182e-01
5.730049482988121001e-01,9.676567981859382495e-02,2.885485637815435322e-01
